address_id,id,name
63,1,utilize cross-media models University
184,2,synthesize collaborative networks University
92,3,facilitate killer deliverables University
102,4,reinvent B2B networks College
86,5,incentivize next-generation e-commerce College
72,6,morph extensible e-tailers College
104,7,syndicate ubiquitous applications University
123,8,facilitate 24/365 channels University
169,9,orchestrate virtual mindshare University
24,10,mesh cross-media markets University
40,11,reintermediate dynamic models College
83,12,reintermediate synergistic applications College
51,13,empower frictionless infrastructures University
122,14,extend compelling eyeballs University
14,15,engage 24/7 applications University
131,16,facilitate cross-platform bandwidth College
31,17,benchmark global synergies University
88,18,enable enterprise e-business University
129,19,whiteboard viral web services College
56,20,redefine user-centric e-markets College
135,21,repurpose plug-and-play e-tailers University
38,22,utilize value-added paradigms College
136,23,recontextualize cross-media e-markets College
91,24,empower collaborative e-services College
16,25,optimize sexy web services University
